haulid,lengthclass,sppLatin,numlengthclass,year,latitudestart,longitudestart
p05901549324,smalljuv,balistes capriscus,0,1990,32.24,-79.7
p05911010324,adult,balistes capriscus,1,1991,32.51,-79.69
p05911010324,largejuv,balistes capriscus,1,1991,32.51,-79.69
p05911010324,smalljuv,balistes capriscus,0,1991,32.51,-79.69
p05911012324,adult,balistes capriscus,0,1991,32.51,-79.7
p05911012324,largejuv,balistes capriscus,1,1991,32.51,-79.7
p05911012324,smalljuv,balistes capriscus,0,1991,32.51,-79.7
p05911121324,adult,balistes capriscus,0,1991,34.6,-76.19
p05911121324,largejuv,balistes capriscus,1,1991,34.6,-76.19
p05911121324,smalljuv,balistes capriscus,0,1991,34.6,-76.19
p05911246324,adult,balistes capriscus,4,1991,31.69,-80.33
p05911246324,largejuv,balistes capriscus,1,1991,31.69,-80.33
p05911246324,smalljuv,balistes capriscus,0,1991,31.69,-80.33
p05911251324,adult,balistes capriscus,4,1991,31.68,-80.32
p05911251324,largejuv,balistes capriscus,2,1991,31.68,-80.32
p05911251324,smalljuv,balistes capriscus,0,1991,31.68,-80.32
p05911252324,adult,balistes capriscus,5,1991,31.68,-80.33
p05911252324,largejuv,balistes capriscus,4,1991,31.68,-80.33
p05911252324,smalljuv,balistes capriscus,0,1991,31.68,-80.33
p05911258324,adult,balistes capriscus,3,1991,31.69,-80.33
p05911258324,largejuv,balistes capriscus,4,1991,31.69,-80.33
p05911258324,smalljuv,balistes capriscus,0,1991,31.69,-80.33
p05911305324,adult,balistes capriscus,0,1991,32.25,-79.71
p05911305324,largejuv,balistes capriscus,2,1991,32.25,-79.71
p05911305324,smalljuv,balistes capriscus,0,1991,32.25,-79.71
p05911307324,adult,balistes capriscus,0,1991,32.26,-79.7
p05911307324,largejuv,balistes capriscus,3,1991,32.26,-79.7
p05911307324,smalljuv,balistes capriscus,0,1991,32.26,-79.7
p05911335324,adult,balistes capriscus,0,1991,32.24,-79.7
p05911335324,largejuv,balistes capriscus,1,1991,32.24,-79.7
p05911335324,smalljuv,balistes capriscus,0,1991,32.24,-79.7
p05911375324,adult,balistes capriscus,0,1991,32.6,-79.22
p05911375324,largejuv,balistes capriscus,1,1991,32.6,-79.22
p05911375324,smalljuv,balistes capriscus,0,1991,32.6,-79.22
p05911389324,adult,balistes capriscus,0,1991,32.25,-79.69
p05911389324,largejuv,balistes capriscus,1,1991,32.25,-79.69
p05911389324,smalljuv,balistes capriscus,0,1991,32.25,-79.69
p05911408324,adult,balistes capriscus,0,1991,32.79,-78.66
p05911408324,largejuv,balistes capriscus,1,1991,32.79,-78.66
p05911408324,smalljuv,balistes capriscus,0,1991,32.79,-78.66
p05911433324,adult,balistes capriscus,1,1991,32.78,-78.65
p05911433324,largejuv,balistes capriscus,1,1991,32.78,-78.65
p05911433324,smalljuv,balistes capriscus,0,1991,32.78,-78.65
p05930484324,adult,balistes capriscus,2,1993,31.69,-80.32
p05930484324,largejuv,balistes capriscus,1,1993,31.69,-80.32
p05930484324,smalljuv,balistes capriscus,0,1993,31.69,-80.32
p05930530324,adult,balistes capriscus,1,1993,31.44,-80.36
p05930530324,largejuv,balistes capriscus,3,1993,31.44,-80.36
p05930530324,smalljuv,balistes capriscus,0,1993,31.44,-80.36
p05930535324,adult,balistes capriscus,1,1993,31.43,-80.35
p05930535324,largejuv,balistes capriscus,1,1993,31.43,-80.35
p05930535324,smalljuv,balistes capriscus,0,1993,31.43,-80.35
p05930546324,adult,balistes capriscus,2,1993,31.43,-80.36
p05930546324,largejuv,balistes capriscus,1,1993,31.43,-80.36
p05930546324,smalljuv,balistes capriscus,0,1993,31.43,-80.36
p05940350324,adult,balistes capriscus,4,1994,31.43,-80.36
p05940350324,largejuv,balistes capriscus,1,1994,31.43,-80.36
p05940350324,smalljuv,balistes capriscus,0,1994,31.43,-80.36
p05940364324,adult,balistes capriscus,1,1994,31.44,-80.36
p05940364324,largejuv,balistes capriscus,2,1994,31.44,-80.36
p05940364324,smalljuv,balistes capriscus,0,1994,31.44,-80.36
p05950162324,adult,balistes capriscus,3,1995,32.25,-79.69
p05950162324,largejuv,balistes capriscus,1,1995,32.25,-79.69
p05950162324,smalljuv,balistes capriscus,0,1995,32.25,-79.69
p05950282324,adult,balistes capriscus,2,1995,31.42,-80.36
p05950282324,largejuv,balistes capriscus,2,1995,31.42,-80.36
p05950282324,smalljuv,balistes capriscus,0,1995,31.42,-80.36
p05950283324,adult,balistes capriscus,1,1995,31.42,-80.36
p05950283324,largejuv,balistes capriscus,1,1995,31.42,-80.36
